# well_id: JAF-MON-035-RAIN
# location: Near point pedro WSS
# recorded_at: 17-09-2026 12:41 (site local time)
date,time,value
01-02-2023,20:30,33.5
01-02-2023,21:30,2.5
01-02-2023,22:30,22
01-02-2023,23:30,4.5
02-02-2023,01:30,24.5
02-02-2023,02:30,3.5
02-02-2023,03:30,5.5
02-02-2023,04:30,28
02-02-2023,05:30,16
02-02-2023,06:30,1
03-02-2023,02:30,0.5
03-02-2023,06:30,1
04-02-2023,02:30,3.5
04-02-2023,03:30,9
23-02-2023,02:30,1
19-03-2023,08:30,0.5
19-03-2023,09:30,0.5
20-03-2023,00:30,1.5
20-03-2023,02:30,0.5
20-03-2023,03:30,1.5
20-03-2023,06:30,1
20-03-2023,07:30,1
20-03-2023,08:30,3
25-03-2023,02:30,1
04-04-2023,12:30,2
08-04-2023,00:30,1
08-04-2023,01:30,1
08-04-2023,04:30,0.5
08-04-2023,14:30,1
22-04-2023,12:30,0.5
22-04-2023,13:30,0.5
24-04-2023,04:30,1
25-04-2023,03:30,18
25-04-2023,04:30,0.5
01-05-2023,10:30,0.5
01-05-2023,11:30,80.5
01-05-2023,16:30,0.5
01-05-2023,17:30,0.5
01-05-2023,18:30,1
01-05-2023,19:30,0.5
01-05-2023,21:30,2.5
01-05-2023,22:30,3
01-05-2023,23:30,1
02-05-2023,00:30,0.5
02-05-2023,01:30,1
02-05-2023,08:30,0.5
02-05-2023,12:30,26
15-09-2023,11:30,3
17-09-2023,22:30,7.5
17-09-2023,23:30,2
18-09-2023,00:30,3
18-09-2023,02:30,7.5
18-09-2023,03:30,2
18-09-2023,11:30,0.5
26-09-2023,07:30,28.5
26-09-2023,08:30,32.5
26-09-2023,09:30,0.5
26-09-2023,10:30,0.5
13-10-2023,09:30,6.5
13-10-2023,10:30,1.5
13-10-2023,11:30,1.5
13-10-2023,13:30,1
15-10-2023,04:30,0.5
16-10-2023,08:30,4
17-10-2023,00:30,3
17-10-2023,01:30,4
17-10-2023,02:30,0.5
17-10-2023,03:30,0.5
17-10-2023,22:30,20
17-10-2023,23:30,4
18-10-2023,00:30,0.5
22-10-2023,06:30,1.5
22-10-2023,07:30,1
23-10-2023,12:30,8
23-10-2023,13:30,2.5
24-10-2023,07:30,2
24-10-2023,08:30,21
24-10-2023,10:30,0.5
29-10-2023,04:30,10.5
29-10-2023,05:30,8
29-10-2023,06:30,1.5
30-10-2023,00:30,5
30-10-2023,02:30,0.5
30-10-2023,03:30,1
30-10-2023,04:30,0.5
30-10-2023,05:30,0.5
30-10-2023,06:30,0.5
30-10-2023,07:30,0.5
01-11-2023,12:30,1
01-11-2023,15:30,3
01-11-2023,22:30,2.5
01-11-2023,23:30,21.5
02-11-2023,00:30,12
02-11-2023,01:30,1.5
02-11-2023,02:30,1.5
02-11-2023,03:30,13
02-11-2023,05:30,13.5
02-11-2023,12:30,4.5
02-11-2023,19:30,1
02-11-2023,22:30,0.5
03-11-2023,00:30,2
03-11-2023,01:30,0.5
03-11-2023,16:30,7
03-11-2023,17:30,0.5
03-11-2023,18:30,18
03-11-2023,19:30,1.5
03-11-2023,21:30,0.5
04-11-2023,03:30,0.5
04-11-2023,12:30,25.5
04-11-2023,14:30,0.5
07-11-2023,06:30,0.5
07-11-2023,08:30,1
07-11-2023,09:30,2.5
07-11-2023,10:30,4.5
07-11-2023,11:30,2
07-11-2023,12:30,0.5
07-11-2023,15:30,1.5
07-11-2023,16:30,12.5
07-11-2023,17:30,1
07-11-2023,18:30,1
07-11-2023,21:30,1.5
07-11-2023,23:30,1
08-11-2023,00:30,1
08-11-2023,11:30,1
08-11-2023,17:30,19
08-11-2023,18:30,10.5
08-11-2023,19:30,24
08-11-2023,21:30,5
08-11-2023,23:30,0.5
09-11-2023,01:30,2
09-11-2023,02:30,1.5
09-11-2023,03:30,0.5
10-11-2023,16:30,2.5
10-11-2023,21:30,24.5
10-11-2023,23:30,0.5
11-11-2023,09:30,35.5
11-11-2023,10:30,7.5
11-11-2023,11:30,0.5
13-11-2023,06:30,6.5
13-11-2023,07:30,6
13-11-2023,09:30,2.5
13-11-2023,10:30,2.5
13-11-2023,11:30,9
13-11-2023,12:30,2.5
13-11-2023,13:30,2.5
13-11-2023,14:30,8.5
13-11-2023,15:30,4
13-11-2023,16:30,1
13-11-2023,18:30,0.5
13-11-2023,20:30,0.5
14-11-2023,01:30,0.5
14-11-2023,02:30,4.5
14-11-2023,03:30,28
14-11-2023,04:30,30.5
14-11-2023,06:30,0.5
14-11-2023,10:30,1
14-11-2023,11:30,1
14-11-2023,12:30,2
14-11-2023,13:30,4
14-11-2023,14:30,1.5
14-11-2023,16:30,1
14-11-2023,21:30,0.5
14-11-2023,22:30,11
14-11-2023,23:30,44.5
15-11-2023,00:30,13.5
15-11-2023,01:30,2.5
15-11-2023,02:30,1
15-11-2023,03:30,3.5
15-11-2023,04:30,12
15-11-2023,05:30,8.5
15-11-2023,06:30,3
15-11-2023,08:30,1.5
15-11-2023,17:30,0.5
16-11-2023,10:30,2
16-11-2023,11:30,1
16-11-2023,12:30,0.5
18-11-2023,04:30,0.5
18-11-2023,07:30,1
18-11-2023,22:30,0.5
18-11-2023,23:30,9.5
19-11-2023,00:30,11
19-11-2023,01:30,3
19-11-2023,11:30,3.5
19-11-2023,17:30,2
20-11-2023,00:30,0.5
21-11-2023,00:30,0.5
22-11-2023,01:30,0.5
22-11-2023,06:30,21
22-11-2023,07:30,2
25-11-2023,16:30,1.5
25-11-2023,19:30,3.5
25-11-2023,22:30,7
26-11-2023,05:30,0.5
26-11-2023,21:30,4.5
26-11-2023,22:30,15.5
26-11-2023,23:30,2.5
27-11-2023,03:30,0.5
27-11-2023,04:30,0.5
27-11-2023,06:30,0.5
27-11-2023,08:30,0.5
28-11-2023,10:30,0.5
28-11-2023,11:30,1.5
28-11-2023,17:30,2.5
28-11-2023,18:30,2
28-11-2023,21:30,13
28-11-2023,22:30,10
28-11-2023,23:30,2
29-11-2023,00:30,0.5
29-11-2023,12:30,5.5
29-11-2023,13:30,1.5
30-11-2023,01:30,0.5
30-11-2023,02:30,2
30-11-2023,03:30,1
30-11-2023,05:30,5.5
30-11-2023,06:30,0.5
30-11-2023,10:30,29
30-11-2023,11:30,0.5
30-11-2023,12:30,0.5
01-12-2023,02:30,0.5
01-12-2023,07:30,0.5
01-12-2023,09:30,0.5
01-12-2023,15:30,10
01-12-2023,17:30,4.5
01-12-2023,18:30,1
01-12-2023,19:30,2
01-12-2023,20:30,0.5
01-12-2023,23:30,3.5
02-12-2023,00:30,0.5
02-12-2023,04:30,0.5
02-12-2023,07:30,1
02-12-2023,08:30,0.5
02-12-2023,14:30,0.5
02-12-2023,17:30,1
02-12-2023,21:30,0.5
02-12-2023,22:30,2.5
02-12-2023,23:30,1
03-12-2023,00:30,0.5
09-12-2023,21:30,0.5
09-12-2023,23:30,0.5
10-12-2023,00:30,0.5
10-12-2023,01:30,0.5
10-12-2023,02:30,0.5
10-12-2023,05:30,7
10-12-2023,06:30,12.5
10-12-2023,08:30,1.5
10-12-2023,09:30,0.5
11-12-2023,15:30,0.5
14-12-2023,14:30,3
14-12-2023,15:30,0.5
14-12-2023,20:30,1.5
14-12-2023,21:30,2.5
14-12-2023,22:30,3
14-12-2023,23:30,0.5
16-12-2023,02:30,4
16-12-2023,03:30,1.5
16-12-2023,05:30,1
16-12-2023,07:30,5
16-12-2023,08:30,1.5
16-12-2023,09:30,1.5
16-12-2023,10:30,2
16-12-2023,11:30,1.5
16-12-2023,12:30,5.5
16-12-2023,20:30,10
16-12-2023,21:30,3
17-12-2023,01:30,1
17-12-2023,09:30,8
17-12-2023,11:30,3
17-12-2023,12:30,3.5
17-12-2023,14:30,1
17-12-2023,15:30,5.5
17-12-2023,16:30,14
17-12-2023,17:30,0.5
17-12-2023,18:30,4.5
17-12-2023,21:30,3.5
17-12-2023,22:30,0.5
17-12-2023,23:30,2
18-12-2023,00:30,3
18-12-2023,01:30,3
18-12-2023,02:30,0.5
18-12-2023,08:30,2
18-12-2023,10:30,3.5
18-12-2023,11:30,7
18-12-2023,12:30,27
18-12-2023,13:30,21
18-12-2023,14:30,8
18-12-2023,15:30,0.5
18-12-2023,17:30,0.5
18-12-2023,20:30,12
18-12-2023,21:30,4
18-12-2023,22:30,4.5
18-12-2023,23:30,21.5
19-12-2023,00:30,4
19-12-2023,01:30,1
19-12-2023,02:30,8.5
19-12-2023,03:30,5
19-12-2023,04:30,15.5
19-12-2023,05:30,3
19-12-2023,06:30,0.5
19-12-2023,10:30,15
19-12-2023,11:30,7.5
19-12-2023,13:30,0.5
20-12-2023,04:30,0.5
21-12-2023,07:30,13.5
21-12-2023,10:30,20.5
21-12-2023,14:30,6
21-12-2023,15:30,30.5
21-12-2023,16:30,11
21-12-2023,17:30,1
22-12-2023,08:30,0.5
22-12-2023,10:30,0.5
22-12-2023,11:30,16
22-12-2023,12:30,4
22-12-2023,13:30,9
22-12-2023,14:30,11
24-12-2023,04:30,0.5
24-12-2023,10:30,2
24-12-2023,12:30,4.5
24-12-2023,13:30,0.5
24-12-2023,14:30,0.5
24-12-2023,23:30,6
25-12-2023,04:30,6.5
25-12-2023,05:30,0.5
27-12-2023,18:30,2.5
27-12-2023,19:30,15.5
27-12-2023,20:30,3
27-12-2023,21:30,6.5
28-12-2023,09:30,2
29-12-2023,22:30,1
04-01-2024,11:30,1.5
06-01-2024,00:30,1.5
06-01-2024,01:30,0.5
07-01-2024,03:30,0.5
07-01-2024,08:30,13
07-01-2024,09:30,3.5
07-01-2024,10:30,0.5
07-01-2024,13:30,1.5
08-01-2024,00:30,0.5
08-01-2024,03:30,0.5
08-01-2024,04:30,7
08-01-2024,05:30,1.5
08-01-2024,08:30,16
08-01-2024,09:30,0.5
08-01-2024,10:30,1
08-01-2024,11:30,0.5
08-01-2024,17:30,0.5
08-01-2024,18:30,16.5
08-01-2024,19:30,7.5
18-01-2024,10:30,2.5
18-01-2024,11:30,7
18-01-2024,12:30,0.5
18-01-2024,16:30,1
19-01-2024,01:30,4.5
19-01-2024,02:30,12
19-01-2024,03:30,2
19-01-2024,06:30,1
19-01-2024,07:30,4.5
19-01-2024,08:30,2.5
19-01-2024,09:30,0.5
19-01-2024,17:30,6.5
19-01-2024,18:30,13.5
19-01-2024,19:30,0.5
19-01-2024,22:30,1
19-01-2024,23:30,5
20-01-2024,00:30,3.5
20-01-2024,09:30,2.5
31-01-2024,06:30,6
31-01-2024,07:30,2.5
31-01-2024,10:30,1
31-01-2024,17:30,0.5
12-02-2024,16:30,1
20-03-2024,22:30,14.5
20-03-2024,23:30,11
21-03-2024,00:30,0.5
21-03-2024,02:30,0.5
27-03-2024,09:30,0.5
13-04-2024,10:30,0.5
15-04-2024,11:30,1.5
14-05-2024,15:30,0.5
16-05-2024,03:30,0.5
16-05-2024,04:30,0.5
16-05-2024,13:30,2
16-05-2024,14:30,2.5
16-05-2024,16:30,1
16-05-2024,17:30,0.5
16-05-2024,18:30,1
16-05-2024,23:30,0.5
17-05-2024,11:30,23.5
17-05-2024,12:30,1.5
17-05-2024,13:30,1.5
17-05-2024,15:30,0.5
17-05-2024,16:30,0.5
18-05-2024,03:30,0.5
18-05-2024,11:30,21
18-05-2024,12:30,0.5
18-05-2024,13:30,0.5
18-05-2024,17:30,10
18-05-2024,20:30,0.5
19-05-2024,20:30,0.5
19-05-2024,21:30,4.5
19-05-2024,23:30,0.5
20-05-2024,17:30,32
20-05-2024,18:30,13
20-05-2024,19:30,0.5
21-05-2024,20:30,1
21-05-2024,21:30,1
22-05-2024,01:30,0.5
22-05-2024,03:30,2.5
22-05-2024,04:30,0.5
22-05-2024,11:30,7
22-05-2024,12:30,0.5
22-05-2024,22:30,4
22-05-2024,23:30,0.5
23-05-2024,00:30,1.5
23-05-2024,02:30,0.5
23-05-2024,03:30,1.5
23-05-2024,10:30,0.5
02-06-2024,14:30,1
02-06-2024,15:30,26
02-06-2024,16:30,1.5
02-06-2024,17:30,1
03-06-2024,04:30,0.5
03-06-2024,06:30,1.5
03-06-2024,07:30,1
03-06-2024,09:30,0.5
18-06-2024,19:30,0.5
19-06-2024,01:30,0.5
01-08-2024,22:30,15
01-08-2024,23:30,6
05-08-2024,16:30,2
05-08-2024,18:30,0.5
06-08-2024,10:30,3.5
08-08-2024,08:30,0.5
08-08-2024,09:30,36.5
08-08-2024,10:30,0.5
08-08-2024,11:30,0.5
08-08-2024,13:30,1
11-08-2024,05:30,5
16-08-2024,11:30,1
16-08-2024,12:30,10
16-08-2024,13:30,0.5
16-08-2024,14:30,1
17-08-2024,00:30,0.5
20-08-2024,17:30,1.5
20-08-2024,18:30,1
20-08-2024,19:30,0.5
21-08-2024,06:30,1.5
29-08-2024,20:30,5.5
29-08-2024,21:30,13.5
29-08-2024,23:30,1
31-08-2024,17:30,0.5
01-09-2024,04:30,0.5
30-09-2024,00:30,0.5
30-09-2024,01:30,2
30-09-2024,03:30,0.5
30-09-2024,05:30,1.5
30-09-2024,06:30,1.5
06-10-2024,04:30,5.5
07-10-2024,11:30,1.5
07-10-2024,12:30,2
07-10-2024,13:30,1
07-10-2024,16:30,10.5
08-10-2024,01:30,0.5
08-10-2024,11:30,15
08-10-2024,12:30,6.5
08-10-2024,13:30,0.5
09-10-2024,09:30,0.5
09-10-2024,11:30,2
10-10-2024,10:30,19.5
10-10-2024,11:30,39.5
10-10-2024,12:30,1
11-10-2024,02:30,0.5
11-10-2024,10:30,43.5
11-10-2024,11:30,17.5
11-10-2024,12:30,3.5
11-10-2024,13:30,0.5
11-10-2024,14:30,0.5
11-10-2024,19:30,0.5
12-10-2024,07:30,0.5
12-10-2024,10:30,2.5
12-10-2024,11:30,0.5
12-10-2024,20:30,0.5
12-10-2024,21:30,2
12-10-2024,23:30,0.5
13-10-2024,18:30,1
14-10-2024,06:30,0.5
14-10-2024,07:30,1
14-10-2024,08:30,16.5
14-10-2024,09:30,16.5
14-10-2024,10:30,10.5
14-10-2024,11:30,3.5
14-10-2024,23:30,3
15-10-2024,00:30,8
15-10-2024,01:30,0.5
15-10-2024,19:30,5
15-10-2024,20:30,0.5
15-10-2024,22:30,0.5
15-10-2024,23:30,2.5
16-10-2024,17:30,33.5
16-10-2024,18:30,1
16-10-2024,19:30,7.5
16-10-2024,20:30,31
16-10-2024,21:30,3
16-10-2024,22:30,0.5
16-10-2024,23:30,0.5
17-10-2024,00:30,0.5
19-10-2024,05:30,1
20-10-2024,07:30,5.5
20-10-2024,08:30,44
20-10-2024,09:30,5
21-10-2024,09:30,20.5
21-10-2024,10:30,28
21-10-2024,11:30,3.5
23-10-2024,09:30,1
24-10-2024,23:30,0.5
25-10-2024,00:30,12
25-10-2024,01:30,50.5
25-10-2024,02:30,84.5
25-10-2024,03:30,13
25-10-2024,04:30,3
25-10-2024,05:30,2
25-10-2024,06:30,2
25-10-2024,07:30,0.5
25-10-2024,23:30,0.5
31-10-2024,06:30,1.5
31-10-2024,07:30,3.5
31-10-2024,08:30,0.5
01-11-2024,01:30,0.5
01-11-2024,02:30,2.5
01-11-2024,15:30,1.5
01-11-2024,16:30,0.5
03-11-2024,05:30,10.5
04-11-2024,09:30,0.5
04-11-2024,10:30,1.5
07-11-2024,01:30,1
07-11-2024,03:30,11.5
07-11-2024,04:30,4.5
07-11-2024,05:30,3.5
07-11-2024,06:30,11.5
07-11-2024,07:30,0.5
07-11-2024,09:30,14.5
07-11-2024,12:30,2.5
07-11-2024,13:30,0.5
07-11-2024,20:30,7
08-11-2024,04:30,5
08-11-2024,05:30,8
08-11-2024,07:30,1.5
08-11-2024,08:30,0.5
08-11-2024,09:30,8.5
08-11-2024,10:30,4
08-11-2024,11:30,14.5
08-11-2024,12:30,1.5
08-11-2024,13:30,1
08-11-2024,14:30,1
08-11-2024,22:30,0.5
10-11-2024,08:30,9.5
10-11-2024,09:30,0.5
10-11-2024,17:30,1
10-11-2024,18:30,0.5
12-11-2024,00:30,2.5
15-11-2024,03:30,0.5
15-11-2024,04:30,5.5
15-11-2024,08:30,13.5
15-11-2024,09:30,0.5
15-11-2024,15:30,4
16-11-2024,00:30,0.5
16-11-2024,01:30,1
16-11-2024,06:30,0.5
17-11-2024,16:30,1
17-11-2024,18:30,0.5
17-11-2024,19:30,1.5
17-11-2024,20:30,1.5
17-11-2024,22:30,13
18-11-2024,11:30,14
18-11-2024,12:30,1.5
18-11-2024,14:30,1.5
18-11-2024,17:30,0.5
18-11-2024,18:30,0.5
18-11-2024,20:30,1
19-11-2024,01:30,1
19-11-2024,02:30,4.5
19-11-2024,03:30,0.5
19-11-2024,05:30,1
19-11-2024,07:30,0.5
19-11-2024,12:30,9.5
19-11-2024,14:30,0.5
19-11-2024,16:30,0.5
19-11-2024,17:30,2.5
19-11-2024,18:30,2.5
19-11-2024,19:30,1
19-11-2024,20:30,2.5
19-11-2024,21:30,0.5
20-11-2024,00:30,1
20-11-2024,01:30,1
20-11-2024,02:30,1.5
20-11-2024,03:30,13
20-11-2024,04:30,27.5
20-11-2024,05:30,3
20-11-2024,06:30,0.5
20-11-2024,08:30,3.5
20-11-2024,09:30,8
20-11-2024,10:30,0.5
21-11-2024,03:30,1
21-11-2024,04:30,4.5
21-11-2024,05:30,11.5
21-11-2024,06:30,26
22-11-2024,14:30,1.5
24-11-2024,13:30,1
24-11-2024,17:30,0.5
24-11-2024,18:30,4
24-11-2024,20:30,1.5
24-11-2024,21:30,7
24-11-2024,22:30,7
25-11-2024,07:30,2
25-11-2024,08:30,4.5
25-11-2024,09:30,6
25-11-2024,10:30,3.5
25-11-2024,11:30,7.5
25-11-2024,12:30,15
25-11-2024,13:30,4
25-11-2024,22:30,1
26-11-2024,01:30,0.5
26-11-2024,02:30,1
26-11-2024,03:30,7
26-11-2024,04:30,1
26-11-2024,05:30,21
26-11-2024,06:30,31.5
26-11-2024,07:30,20
26-11-2024,08:30,13.5
26-11-2024,09:30,0.5
26-11-2024,11:30,21.5
26-11-2024,12:30,29.5
26-11-2024,13:30,24
26-11-2024,14:30,18
26-11-2024,15:30,14.5
26-11-2024,16:30,11
26-11-2024,17:30,8
26-11-2024,18:30,14
26-11-2024,19:30,9.5
26-11-2024,20:30,11
26-11-2024,21:30,9
26-11-2024,22:30,11
26-11-2024,23:30,6
27-11-2024,00:30,3.5
27-11-2024,01:30,5.5
27-11-2024,02:30,7.5
27-11-2024,03:30,12
27-11-2024,04:30,9.5
27-11-2024,05:30,7
27-11-2024,06:30,5
27-11-2024,07:30,6.5
27-11-2024,08:30,8
27-11-2024,09:30,25.5
27-11-2024,10:30,23.5
27-11-2024,11:30,5.5
27-11-2024,12:30,2
27-11-2024,13:30,0.5
27-11-2024,16:30,0.5
28-11-2024,06:30,3
29-11-2024,01:30,1.5
29-11-2024,02:30,1
30-11-2024,20:30,3.5
30-11-2024,21:30,2
08-12-2024,10:30,1
09-12-2024,15:30,1
09-12-2024,16:30,1.5
10-12-2024,12:30,2
10-12-2024,13:30,23
10-12-2024,14:30,4.5
10-12-2024,15:30,0.5
10-12-2024,19:30,2
10-12-2024,20:30,2
11-12-2024,09:30,2
11-12-2024,10:30,11.5
11-12-2024,11:30,4
11-12-2024,12:30,0.5
11-12-2024,16:30,2.5
11-12-2024,23:30,1
12-12-2024,01:30,5.5
12-12-2024,02:30,19.5
21-01-2025,10:30,0.5
30-01-2025,00:30,0.5
30-01-2025,02:30,1
30-01-2025,08:30,2
30-01-2025,21:30,8.5
30-01-2025,22:30,4.5
31-01-2025,04:30,0.5
25-02-2025,02:30,0.5
25-02-2025,03:30,3
25-02-2025,04:30,0.5
25-02-2025,06:30,0.5
25-02-2025,18:30,1
26-02-2025,00:30,0.5
26-02-2025,02:30,3
26-02-2025,03:30,1
26-02-2025,06:30,10.5
27-02-2025,11:30,7
27-02-2025,14:30,3.5
27-02-2025,18:30,3.5
28-02-2025,06:30,4.5
28-02-2025,09:30,6
28-02-2025,13:30,1
28-02-2025,15:30,2
28-02-2025,21:30,0.5
01-03-2025,02:30,2
01-03-2025,11:30,3
01-03-2025,12:30,1
01-03-2025,14:30,1
10-03-2025,14:30,19
10-03-2025,18:30,0.5
10-03-2025,22:30,1.5
11-03-2025,04:30,9
11-03-2025,05:30,5
11-03-2025,06:30,3
11-03-2025,08:30,0.5
11-03-2025,10:30,1
11-03-2025,12:30,0.5
12-03-2025,01:30,0.5
21-03-2025,11:30,1.5
02-04-2025,15:30,1.5
03-04-2025,01:30,0.5
03-04-2025,02:30,7.5
03-04-2025,03:30,0.5
11-04-2025,23:30,2.5
12-04-2025,00:30,1.5
12-04-2025,01:30,1.5
12-04-2025,02:30,0.5
12-04-2025,03:30,0.5
27-04-2025,09:30,14
27-04-2025,10:30,3.5
29-04-2025,08:30,1
29-04-2025,09:30,35.5
04-05-2025,22:30,35
04-05-2025,23:30,3
05-05-2025,00:30,3
05-05-2025,01:30,3.5
05-05-2025,02:30,1.5
05-05-2025,03:30,0.5
05-05-2025,04:30,0.5
08-05-2025,08:30,19
08-05-2025,09:30,1.5
16-05-2025,07:30,10.5
17-05-2025,02:30,4
17-05-2025,03:30,1
17-05-2025,04:30,3
17-05-2025,05:30,2
17-05-2025,18:30,37.5
17-05-2025,19:30,15
17-05-2025,20:30,6
17-05-2025,21:30,1.5
17-05-2025,22:30,1
17-05-2025,23:30,0.5
